event_id,timestamp,db_user,sql_statement,tables_involved,status,rows_affected,graph_frame,is_after_hours,scenario_type,session_id,session_strategy,attack_type,is_anomaly,cmd_type,join_count,where_count,has_subquery,permission_denied,success,execution_error,time_window_norm,is_internal_ip,session_duration,sequence_order,execution_count
EVT_0000251,2026-05-01 08:08:44,dev_user_1,SELECT li_key FROM public.lineitem WHERE li_key NOT IN (SELECT li_key FROM public.lineitem WHERE li_key < 391) LIMIT 30;,lineitem,SUCCESS,55,G1,0,Normal,S_dev_user_1__0000,B:idle>80min,normal,0,1,0,1,1,0,1,0,0.33939814814814817,1,34851.0,1,3
EVT_0000259,2026-05-01 08:31:08,dev_user_1,SELECT COUNT(*) FROM public.orders WHERE 1=1;,orders,SUCCESS,53,G1,0,Daily-Report,S_dev_user_1__0000,B:idle>80min,daily-report,0,1,0,1,0,0,1,0,0.3549537037037037,1,34851.0,2,16
EVT_0000255,2026-05-01 08:32:14,dev_user_1,SELECT COUNT(*) FROM public.supplier WHERE 1=1;,supplier,SUCCESS,50,G1,0,Daily-Report,S_dev_user_1__0000,B:idle>80min,daily-report,0,1,0,1,0,0,1,0,0.3557175925925926,1,34851.0,3,16
EVT_0000258,2026-05-01 08:48:42,dev_user_1,SELECT * FROM public.customer LIMIT 63;,customer,SUCCESS,23,G1,0,Normal_Admin,S_dev_user_1__0000,B:idle>80min,normal_admin,0,1,0,0,0,0,1,0,0.3671527777777778,1,34851.0,4,10
EVT_0000252,2026-05-01 08:55:43,dev_user_1,"SELECT s.s_name, ps.ps_supplycost FROM public.supplier s JOIN public.partsupp ps ON s.s_suppkey = ps.ps_suppkey ORDER BY ps.ps_supplycost DESC LIMIT 20;",partsupp,SUCCESS,96,G1,0,Normal_Admin,S_dev_user_1__0000,B:idle>80min,normal_admin,0,1,1,0,0,0,1,0,0.37202546296296296,1,34851.0,5,6
EVT_0000260,2026-05-01 09:02:59,dev_user_1,"SELECT s.s_name, ps.ps_supplycost FROM public.supplier s JOIN public.partsupp ps ON s.s_suppkey = ps.ps_suppkey ORDER BY ps.ps_supplycost DESC LIMIT 20;",partsupp,SUCCESS,16,G1,0,Normal,S_dev_user_1__0000,B:idle>80min,normal,0,1,1,0,0,0,1,0,0.37707175925925923,1,34851.0,6,6
EVT_0000248,2026-05-01 09:41:14,dev_user_1,INSERT INTO public.nation SELECT * FROM public.nation WHERE na_key = 7;,nation,SUCCESS,96,G1,0,Daily-Report,S_dev_user_1__0000,B:idle>80min,daily-report,0,1,0,1,0,0,1,0,0.4036342592592593,1,34851.0,7,16
EVT_0000249,2026-05-01 09:47:07,dev_user_1,SELECT * FROM public.customer ORDER BY random() LIMIT 24;,customer,SUCCESS,44,G1,0,Normal,S_dev_user_1__0000,B:idle>80min,normal,0,1,0,0,0,0,1,0,0.40771990740740743,1,34851.0,8,10
EVT_0000256,2026-05-01 09:47:41,dev_user_1,SELECT pg_size_pretty(pg_total_relation_size('public.orders')) AS table_size;,orders,SUCCESS,36,G1,0,Normal,S_dev_user_1__0000,B:idle>80min,normal,0,1,0,0,0,0,1,0,0.4081134259259259,1,34851.0,9,10
EVT_0000250,2026-05-01 10:05:23,dev_user_1,EXPLAIN ANALYZE SELECT * FROM public.lineitem LIMIT 50;,lineitem,SUCCESS,112,G1,0,Normal_Admin_Maintenance,S_dev_user_1__0000,B:idle>80min,normal_admin_maintenance,0,1,0,0,0,0,1,0,0.42040509259259257,1,34851.0,10,10
