event_id,timestamp,db_user,sql_statement,tables_involved,status,rows_affected,graph_frame,is_after_hours,scenario_type
EVT_0000001,2026-05-01 08:14:08,normal_user_1,"SELECT pa_key, pa_comment FROM public.part ORDER BY pa_key DESC LIMIT 37;",part,SUCCESS,30,G1,0,Normal
EVT_0000002,2026-05-01 08:28:37,normal_user_1,SELECT * FROM public.supplier WHERE su_key > 320;,supplier,SUCCESS,17,G1,0,Normal_Admin_Maintenance
EVT_0000003,2026-05-01 09:38:16,normal_user_1,SELECT COUNT(*) FROM public.part;,part,SUCCESS,13,G1,0,Normal
EVT_0000004,2026-05-01 10:14:49,normal_user_1,"SELECT COUNT(*), MAX(cu_key) FROM public.customer WHERE cu_key > 0;",customer,SUCCESS,14,G1,0,Normal_Admin_Maintenance
EVT_0000005,2026-05-01 10:46:15,normal_user_1,SELECT * FROM public.region WHERE re_key < 4147;,region,SUCCESS,45,G1,0,Normal_Admin
EVT_0000006,2026-05-01 09:04:13,normal_user_1,"SELECT or_key, or_comment FROM public.orders ORDER BY or_key DESC LIMIT 40;",orders,SUCCESS,79,G1,0,Normal_Admin_Maintenance
EVT_0000007,2026-05-01 10:25:23,normal_user_1,SELECT * FROM public.orders WHERE or_key < 1655;,orders,SUCCESS,54,G1,0,Normal_Admin
EVT_0000008,2026-05-01 10:29:33,normal_user_1,"SELECT COUNT(*), AVG(na_key) FROM public.nation WHERE na_key > 0;",nation,SUCCESS,38,G1,0,Normal_Admin_Maintenance
EVT_0000009,2026-05-01 08:32:58,normal_user_1,SELECT * FROM public.supplier WHERE su_key = 2445;,supplier,SUCCESS,67,G1,0,Normal
EVT_0000010,2026-05-01 08:59:23,normal_user_1,"SELECT COUNT(*), MAX(or_key) FROM public.orders WHERE or_key > 0;",orders,SUCCESS,65,G1,0,Normal_Admin_Maintenance
EVT_0000011,2026-05-01 09:33:55,normal_user_1,SELECT * FROM public.orders ORDER BY 1 LIMIT 22;,orders,SUCCESS,33,G1,0,Daily-Report
EVT_0000012,2026-05-01 09:01:37,normal_user_1,"SELECT c.c_name, o.o_totalprice FROM public.customer c JOIN public.orders o ON c.c_custkey = o.o_custkey LIMIT 17;",nation,SUCCESS,67,G1,0,Normal_Admin
EVT_0000013,2026-05-01 10:08:46,normal_user_1,SELECT COUNT(*) FROM public.orders;,orders,SUCCESS,17,G1,0,Daily-Report
EVT_0000014,2026-05-01 09:46:21,normal_user_2,SELECT * FROM public.orders WHERE 1=1 LIMIT 20;,orders,SUCCESS,75,G1,0,Normal
EVT_0000015,2026-05-01 08:41:34,normal_user_2,"SELECT p.p_name, ps.ps_supplycost FROM public.part p JOIN public.partsupp ps ON p.p_partkey = ps.ps_partkey LIMIT 16;",customer,SUCCESS,63,G1,0,Normal
EVT_0000016,2026-05-01 09:44:46,normal_user_2,"SELECT COUNT(*), AVG(or_key) FROM public.orders WHERE or_key > 0;",orders,SUCCESS,66,G1,0,Daily-Report
EVT_0000017,2026-05-01 10:10:03,normal_user_2,SELECT * FROM public.supplier ORDER BY 1 LIMIT 14;,supplier,SUCCESS,10,G1,0,Normal
EVT_0000018,2026-05-01 09:42:37,normal_user_2,SELECT * FROM public.lineitem WHERE 1=1 LIMIT 20;,lineitem,SUCCESS,77,G1,0,Normal_Admin_Maintenance
EVT_0000019,2026-05-01 08:34:13,normal_user_2,SELECT * FROM public.orders WHERE or_key = 2860;,orders,SUCCESS,72,G1,0,Normal_Admin_Maintenance
EVT_0000020,2026-05-01 10:52:35,normal_user_2,"SELECT c.c_name, o.o_totalprice FROM public.customer c JOIN public.orders o ON c.c_custkey = o.o_custkey LIMIT 38;",part,SUCCESS,48,G1,0,Normal_Admin_Maintenance
