db_user,department,clearance_level,role,is_privileged
normal_user_1,sales,1,staff,0
normal_user_2,sales,1,staff,0
normal_user_3,sales,1,staff,0
normal_user_4,sales,1,staff,0
normal_user_5,sales,1,staff,0
normal_user_6,sales,1,staff,0
normal_user_7,sales,1,staff,0
normal_user_8,sales,1,staff,0
normal_user_9,sales,1,staff,0
normal_user_10,sales,1,staff,0
normal_user_11,sales,1,staff,0
normal_user_12,sales,1,staff,0
normal_user_13,sales,1,staff,0
normal_user_14,sales,1,staff,0
normal_user_15,sales,1,staff,0
normal_user_16,sales,1,staff,0
normal_user_17,sales,1,staff,0
normal_user_18,sales,1,staff,0
normal_user_19,sales,1,staff,0
dev_user_1,it_engineering,2,developer,0
dev_user_2,it_engineering,2,developer,0
dev_user_3,it_engineering,2,developer,0
hr_specialist_1,human_resources,3,hr_specialist,0
hr_specialist_2,human_resources,3,hr_specialist,0
postgres,infrastructure,4,admin,1
