db_user,sim_date,graph_frame,is_anomaly,scenario_types,attack_phases,anomaly_event_count
accountant_024,2026-03-02,G2,t,S3_recon,recon,2
sales_staff_013,2026-03-02,G2,t,S1_recon,recon,1
sales_staff_013,2026-03-02,G3,t,S1_recon,recon,4
accountant_024,2026-03-03,G4,t,S3_recon,recon,2
sales_staff_013,2026-03-03,G2,t,S1_recon,recon,5
accountant_024,2026-03-04,G4,t,S3_recon,recon,2
accountant_027,2026-03-04,G3,t,S2_recon,recon,4
sales_staff_013,2026-03-04,G4,t,S1_recon,recon,5
accountant_024,2026-03-05,G2,t,S3_recon,recon,2
accountant_027,2026-03-05,G2,t,S2_recon,recon,4
sales_staff_013,2026-03-05,G3,t,S1_recon,recon,5
accountant_024,2026-03-06,G3,t,S3_recon,recon,2
accountant_027,2026-03-06,G3,t,S2_recon,recon,4
sales_staff_013,2026-03-06,G3,t,S1_recon,recon,4
accountant_024,2026-03-07,G5,t,S3_execution,execution,3
accountant_027,2026-03-07,G3,t,S2_recon,recon,4
sales_staff_013,2026-03-07,G5,t,S1_execution,execution,5
accountant_024,2026-03-08,G4,t,S3_execution,execution,3
accountant_027,2026-03-08,G2,t,S2_recon,recon,4
sales_staff_013,2026-03-08,G4,t,S1_execution,execution,5
senior_dba_077,2026-03-08,G2,t,S4_recon,recon,4
accountant_024,2026-03-09,G4,t,S3_execution,execution,2
accountant_027,2026-03-09,G3,t,S2_recon,recon,4
sales_staff_013,2026-03-09,G5,t,S1_execution,execution,5
senior_dba_077,2026-03-09,G2,t,S4_recon,recon,4
accountant_024,2026-03-10,G5,t,S3_execution,execution,2
accountant_027,2026-03-10,G4,t,S2_preparation,preparation,4
sales_staff_013,2026-03-10,G5,t,S1_execution,execution,5
senior_dba_077,2026-03-10,G4,t,S4_recon,recon,4
accountant_024,2026-03-11,G5,t,S3_execution,execution,2
accountant_027,2026-03-11,G4,t,S2_preparation,preparation,4
sales_staff_013,2026-03-11,G5,t,S1_execution,execution,5
senior_dba_077,2026-03-11,G4,t,S4_recon,recon,4
accountant_024,2026-03-12,G5,t,S3_execution,execution,2
accountant_027,2026-03-12,G4,t,S2_preparation,preparation,4
sales_staff_013,2026-03-12,G5,t,S1_execution,execution,5
senior_dba_077,2026-03-12,G2,t,S4_recon,recon,4
accountant_024,2026-03-13,G5,t,S3_execution,execution,2
accountant_027,2026-03-13,G3,t,S2_preparation,preparation,4
sales_staff_013,2026-03-13,G4,t,S1_execution,execution,5
senior_dba_077,2026-03-13,G3,t,S4_preparation,preparation,3
accountant_024,2026-03-14,G2,t,S3_execution,execution,2
accountant_027,2026-03-14,G2,t,S2_preparation,preparation,4
sales_staff_013,2026-03-14,G5,t,S1_execution,execution,5
senior_dba_077,2026-03-14,G4,t,S4_preparation,preparation,3
accountant_024,2026-03-15,G5,t,S3_execution,execution,2
accountant_027,2026-03-15,G3,t,S2_preparation,preparation,4
sales_staff_013,2026-03-15,G5,t,S1_execution,execution,5
senior_dba_077,2026-03-15,G2,t,S4_preparation,preparation,3
accountant_024,2026-03-16,G2,t,S3_execution,execution,2
accountant_027,2026-03-16,G5,t,S2_execution,execution,5
sales_staff_013,2026-03-16,G1,t,S1_execution,execution,4
sales_staff_013,2026-03-16,G5,t,S1_execution,execution,1
senior_dba_077,2026-03-16,G2,t,S4_preparation,preparation,3
accountant_024,2026-03-17,G5,t,S3_execution,execution,2
accountant_027,2026-03-17,G5,t,S2_execution,execution,5
sales_staff_013,2026-03-17,G5,t,S1_execution,execution,5
senior_dba_077,2026-03-17,G4,t,S4_preparation,preparation,3
accountant_024,2026-03-18,G5,t,S3_execution,execution,3
accountant_027,2026-03-18,G5,t,S2_execution,execution,5
sales_staff_013,2026-03-18,G5,t,S1_execution,execution,5
senior_dba_077,2026-03-18,G5,t,S4_execution,execution,4
accountant_024,2026-03-19,G4,t,S3_execution,execution,1
accountant_024,2026-03-19,G5,t,S3_execution,execution,1
accountant_027,2026-03-19,G5,t,S2_execution,execution,5
sales_staff_013,2026-03-19,G5,t,S1_execution,execution,5
senior_dba_077,2026-03-19,G2,t,S4_execution,execution,4
accountant_024,2026-03-20,G2,t,S3_execution,execution,2
accountant_027,2026-03-20,G5,t,S2_execution,execution,5
sales_staff_013,2026-03-20,G5,t,S1_execution,execution,5
senior_dba_077,2026-03-20,G5,t,S4_execution,execution,4
accountant_024,2026-03-21,G4,t,S3_execution,execution,2
accountant_027,2026-03-21,G5,t,S2_execution,execution,5
sales_staff_013,2026-03-21,G4,t,S1_execution,execution,5
senior_dba_077,2026-03-21,G5,t,S4_execution,execution,4
accountant_024,2026-03-22,G5,t,S3_execution,execution,2
accountant_027,2026-03-22,G5,t,S2_execution,execution,5
senior_dba_077,2026-03-22,G5,t,S4_execution,execution,4
accountant_024,2026-03-23,G2,t,S3_execution,execution,3
accountant_027,2026-03-23,G4,t,S2_execution,execution,5
senior_dba_077,2026-03-23,G5,t,S4_execution,execution,4
accountant_024,2026-03-24,G4,t,S3_execution,execution,3
accountant_027,2026-03-24,G4,t,S2_execution,execution,5
senior_dba_077,2026-03-24,G5,t,S4_execution,execution,4
accountant_024,2026-03-25,G5,t,S3_execution,execution,3
accountant_027,2026-03-25,G4,t,S2_execution,execution,5
senior_dba_077,2026-03-25,G2,t,S4_execution,execution,4
accountant_024,2026-03-26,G5,t,S3_execution,execution,3
accountant_027,2026-03-26,G5,t,S2_execution,execution,5
senior_dba_077,2026-03-26,G5,t,S4_execution,execution,4
accountant_024,2026-03-27,G5,t,S3_execution,execution,2
accountant_027,2026-03-27,G5,t,S2_cover,cover,3
senior_dba_077,2026-03-27,G5,t,S4_execution,execution,4
accountant_024,2026-03-28,G5,t,S3_execution,execution,2
accountant_027,2026-03-28,G5,t,S2_cover,cover,3
senior_dba_077,2026-03-28,G5,t,S4_cover,cover,2
accountant_024,2026-03-29,G5,t,S3_execution,execution,3
accountant_027,2026-03-29,G5,t,S2_cover,cover,3
senior_dba_077,2026-03-29,G4,t,S4_cover,cover,1
senior_dba_077,2026-03-29,G5,t,S4_cover,cover,1
accountant_024,2026-03-30,G5,t,S3_execution,execution,2
accountant_027,2026-03-30,G5,t,S2_cover,cover,3
accountant_024,2026-03-31,G5,t,S3_execution,execution,2
accountant_027,2026-03-31,G5,t,S2_cover,cover,3
