event_id,timestamp,db_user,session_id,sql_statement,tables_involved,status,rows_affected,graph_frame,sim_date,is_after_hours,session_start_time,session_ip,session_event_index,scenario_type
b1dd6039-7cc9-4306-ad56-78d5bd15a213,2026-03-16 02:21:02,accountant_032,sess_accountant_032_2026-03-16_G5_09d25c,"SELECT l_suppkey, SUM(l_extendedprice) AS supplier_amount FROM lineitem WHERE l_shipdate BETWEEN '1992-09-08' AND '1992-09-30' GROUP BY l_suppkey LIMIT 20",lineitem,SUCCESS,20,G5,2026-03-16,t,2026-03-16 02:15:07,10.168.194.136,0,normal
b5d6fb90-b060-48f1-a92d-dc86bfae6254,2026-03-16 02:26:58,accountant_032,sess_accountant_032_2026-03-16_G5_09d25c,"SELECT ps_partkey, ps_suppkey, ps_supplycost FROM partsupp WHERE ps_supplycost > 129 LIMIT 10",partsupp,SUCCESS,10,G5,2026-03-16,t,2026-03-16 02:15:07,10.168.194.136,1,normal
11443f21-9940-47ea-96cb-c38602b9f550,2026-03-16 02:29:45,accountant_032,sess_accountant_032_2026-03-16_G5_09d25c,"SELECT o_orderkey, o_totalprice, o_orderstatus FROM orders WHERE o_totalprice > 29713 LIMIT 25",orders,SUCCESS,25,G5,2026-03-16,t,2026-03-16 02:15:07,10.168.194.136,2,normal
a37f876b-5d4b-4063-8f5b-9206b005805d,2026-03-16 02:30:53,accountant_032,sess_accountant_032_2026-03-16_G5_09d25c,"SELECT ps_partkey, ps_suppkey, ps_supplycost FROM partsupp WHERE ps_supplycost > 441 LIMIT 25",partsupp,SUCCESS,25,G5,2026-03-16,t,2026-03-16 02:15:07,10.168.194.136,3,normal
aef614c3-2a59-48b2-a6d3-d4e4118287fd,2026-03-16 02:32:21,accountant_032,sess_accountant_032_2026-03-16_G5_09d25c,"SELECT s_suppkey, s_name, s_acctbal FROM supplier WHERE s_acctbal < 2038 LIMIT 50",supplier,SUCCESS,50,G5,2026-03-16,t,2026-03-16 02:15:07,10.168.194.136,4,normal
0c144560-0c65-4af3-995f-332b436e769d,2026-03-16 03:04:55,admin_079,sess_admin_079_2026-03-16_G5_50b1e0,"SELECT db_user, db_role, is_privileged FROM sys.db_account WHERE is_privileged = TRUE",sys.db_account,SUCCESS,6,G5,2026-03-16,t,2026-03-16 03:01:16,10.18.26.250,0,normal
42ab50a9-8ed2-442e-a5aa-8ccee35206e9,2026-03-16 03:21:02,senior_dba_077,sess_senior_dba_077_2026-03-16_G5_20dd0a,"SELECT relname, n_live_tup, n_dead_tup FROM pg_stat_user_tables ORDER BY n_dead_tup DESC LIMIT 20",system_catalog,SUCCESS,17,G5,2026-03-16,t,2026-03-16 03:16:00,192.168.137.153,0,normal
8e583361-1ebd-4bf2-a3e3-f6d48f7d8bb9,2026-03-16 03:24:58,senior_dba_077,sess_senior_dba_077_2026-03-16_G5_20dd0a,"SELECT pid, usename, application_name, state, query_start FROM pg_stat_activity",system_catalog,SUCCESS,9,G5,2026-03-16,t,2026-03-16 03:16:00,192.168.137.153,1,normal
b07b6551-7b69-4069-9aeb-f3b53b9f6985,2026-03-16 03:29:41,senior_dba_077,sess_senior_dba_077_2026-03-16_G5_20dd0a,"SELECT pid, usename, application_name, state, query_start FROM pg_stat_activity",system_catalog,SUCCESS,9,G5,2026-03-16,t,2026-03-16 03:16:00,192.168.137.153,2,normal
2559d84b-7edc-49f0-8d08-22a3daa3dce4,2026-03-16 03:35:16,senior_dba_077,sess_senior_dba_077_2026-03-16_G5_20dd0a,"SELECT db_user, clearance_level, is_privileged, account_status FROM sys.db_account LIMIT 10",sys.db_account,SUCCESS,10,G5,2026-03-16,t,2026-03-16 03:16:00,192.168.137.153,3,normal
39ed77e8-624a-4c41-84e0-0e579a2eeb7f,2026-03-16 03:36:10,procurement_manager_044,sess_procurement_manager_044_2026-03-16_G5_62d5d2,"SELECT s_suppkey, s_name, s_acctbal FROM supplier WHERE s_acctbal > 4240 LIMIT 50",supplier,SUCCESS,50,G5,2026-03-16,t,2026-03-16 03:32:50,172.18.117.45,0,normal
4cfef47d-f7d9-4bc2-b33b-b5ae737b86dd,2026-03-16 03:38:44,procurement_manager_044,sess_procurement_manager_044_2026-03-16_G5_62d5d2,"SELECT s_suppkey, s_name, s_acctbal FROM supplier WHERE s_acctbal > 4472 LIMIT 50",supplier,SUCCESS,50,G5,2026-03-16,t,2026-03-16 03:32:50,172.18.117.45,1,normal
4d0f0eb6-9aa5-4271-bbfd-86de5af55314,2026-03-16 03:41:30,procurement_manager_044,sess_procurement_manager_044_2026-03-16_G5_62d5d2,"SELECT e.full_name, e.job_role FROM hr.employee e JOIN hr.department d ON e.department_id = d.department_id WHERE d.department_name = 'Procurement Department' LIMIT 20","hr.employee,hr.department",SUCCESS,10,G5,2026-03-16,t,2026-03-16 03:32:50,172.18.117.45,2,normal
e9d2f100-5df7-4307-af13-695f84bfb302,2026-03-16 03:43:38,security_analyst_071,sess_security_analyst_071_2026-03-16_G5_ab4626,"SELECT db_user, event_type, severity_index, event_time FROM sys.system_security_log ORDER BY event_time DESC LIMIT 20",sys.system_security_log,SUCCESS,20,G5,2026-03-16,t,2026-03-16 03:42:11,192.168.121.248,0,normal
09ba9260-a4c8-4c8f-9407-a9eef525a82f,2026-03-16 03:45:15,procurement_manager_044,sess_procurement_manager_044_2026-03-16_G5_62d5d2,"SELECT p_partkey, p_name, p_retailprice FROM part WHERE p_retailprice < 34898 LIMIT 20",part,SUCCESS,20,G5,2026-03-16,t,2026-03-16 03:32:50,172.18.117.45,3,normal
f817983a-e553-4278-a637-1671173648f6,2026-03-16 03:49:28,security_analyst_071,sess_security_analyst_071_2026-03-16_G5_ab4626,"SELECT event_type, COUNT(*) FROM sys.system_security_log GROUP BY event_type",sys.system_security_log,SUCCESS,3,G5,2026-03-16,t,2026-03-16 03:42:11,192.168.121.248,1,normal
cf694cc3-00a7-4ed3-b3d4-792034f1032a,2026-03-16 03:50:46,security_analyst_071,sess_security_analyst_071_2026-03-16_G5_ab4626,"SELECT e.full_name, a.clearance_level, a.is_privileged FROM hr.employee e JOIN sys.db_account a ON e.employee_id = a.employee_id LIMIT 25","hr.employee,sys.db_account",SUCCESS,25,G5,2026-03-16,t,2026-03-16 03:42:11,192.168.121.248,2,normal
10f6d146-42c3-4a8a-923d-bdd90abb6408,2026-03-16 03:52:06,security_analyst_071,sess_security_analyst_071_2026-03-16_G5_ab4626,"SELECT db_user, COUNT(*) FROM sys.system_security_log WHERE event_type = 'FAILED_LOGIN' GROUP BY db_user ORDER BY COUNT(*) DESC LIMIT 20",sys.system_security_log,SUCCESS,0,G5,2026-03-16,t,2026-03-16 03:42:11,192.168.121.248,3,normal
