sim_date,total_events,active_users,total_sessions,success_events,denied_events,error_events,attack_events
2026-01-01,1314,64,193,1303,11,0,0
2026-01-02,1262,62,191,1249,13,0,0
2026-01-03,71,7,12,70,1,0,0
2026-01-04,62,4,10,62,0,0,0
2026-01-05,1412,68,208,1401,11,0,0
2026-01-06,1302,63,180,1287,15,0,0
2026-01-07,1492,71,218,1481,11,0,0
2026-01-08,1370,64,204,1358,12,0,0
2026-01-09,1235,61,174,1222,13,0,0
2026-01-10,186,13,26,184,2,0,0
2026-01-11,83,6,15,83,0,0,0
2026-01-12,1370,68,195,1351,19,0,0
2026-01-13,1349,65,200,1333,16,0,0
2026-01-14,1367,66,196,1352,15,0,0
2026-01-15,1431,69,208,1415,16,0,0
2026-01-16,1365,68,201,1354,11,0,0
2026-01-17,171,11,23,171,0,0,0
2026-01-18,53,3,8,53,0,0,0
2026-01-19,1319,65,196,1303,16,0,0
2026-01-20,1405,69,205,1394,11,0,0
2026-01-21,1497,73,215,1480,17,0,0
2026-01-22,1325,65,191,1317,8,0,0
2026-01-23,1335,65,202,1322,13,0,0
2026-01-24,174,15,26,173,1,0,0
2026-01-25,59,3,7,58,1,0,0
2026-01-26,1617,62,187,1603,14,0,0
2026-01-27,1736,69,206,1717,19,0,0
2026-01-28,1674,68,208,1656,18,0,0
2026-01-29,1750,68,202,1735,15,0,0
2026-01-30,1788,71,208,1768,20,0,0
2026-01-31,309,20,39,307,2,0,0
2026-02-01,65,5,9,64,1,0,0
2026-02-02,1340,67,203,1330,10,0,0
2026-02-03,1427,70,208,1409,18,0,0
2026-02-04,1273,65,200,1261,12,0,0
2026-02-05,1367,69,200,1354,13,0,0
2026-02-06,1331,64,194,1322,9,0,0
2026-02-07,232,13,25,229,3,0,0
2026-02-08,75,4,8,75,0,0,0
2026-02-09,1406,68,206,1392,14,0,0
2026-02-10,1314,66,204,1308,6,0,0
2026-02-11,1256,60,186,1243,13,0,0
2026-02-12,1385,69,201,1372,13,0,0
2026-02-13,1336,66,192,1325,11,0,0
2026-02-14,191,16,29,189,2,0,0
2026-02-15,70,5,13,69,1,0,0
2026-02-16,1353,66,194,1343,10,0,0
2026-02-17,1468,67,199,1445,23,0,0
2026-02-18,1382,66,195,1372,10,0,0
2026-02-19,1399,68,201,1386,13,0,0
2026-02-20,1399,66,199,1386,13,0,0
2026-02-21,180,14,26,177,3,0,0
2026-02-22,112,6,13,111,1,0,0
2026-02-23,1293,62,189,1285,8,0,0
2026-02-24,1431,68,211,1411,20,0,0
2026-02-25,1843,73,225,1826,17,0,0
2026-02-26,1627,66,206,1617,10,0,0
2026-02-27,1467,63,198,1444,23,0,0
2026-02-28,185,11,23,182,3,0,0
2026-03-01,90,5,9,89,1,0,0
2026-03-02,1405,68,205,1393,12,0,7
2026-03-03,1420,69,211,1404,16,0,7
2026-03-04,1466,70,214,1447,19,0,11
2026-03-05,1327,62,190,1313,14,0,11
2026-03-06,1346,69,196,1328,18,0,10
2026-03-07,114,12,15,108,6,0,12
2026-03-08,84,8,12,79,5,0,16
2026-03-09,1402,68,220,1382,20,0,15
2026-03-10,1344,65,187,1322,22,0,15
2026-03-11,1214,59,173,1196,18,0,15
2026-03-12,1452,71,217,1434,18,0,15
2026-03-13,1422,68,202,1406,16,0,14
2026-03-14,190,15,26,184,6,0,14
2026-03-15,87,10,18,82,5,0,14
2026-03-16,1477,71,219,1463,14,0,15
2026-03-17,1454,69,214,1434,20,0,15
2026-03-18,1486,72,220,1456,30,0,17
2026-03-19,1479,69,208,1456,23,0,16
2026-03-20,1330,67,202,1310,20,0,16
2026-03-21,179,15,25,170,9,0,16
2026-03-22,150,10,26,147,3,0,11
2026-03-23,1409,67,201,1389,20,0,12
2026-03-24,1396,67,198,1381,15,0,12
2026-03-25,1731,68,205,1709,22,0,12
2026-03-26,1777,69,201,1759,18,0,12
2026-03-27,1875,73,220,1860,15,0,9
2026-03-28,117,12,21,116,1,0,7
2026-03-29,106,7,16,104,2,0,8
2026-03-30,1663,67,185,1640,23,0,5
2026-03-31,1735,69,213,1720,15,0,5
