monitor_id,event_time,db_user,session_id,cpu_utilization,memory_utilization,active_connections,disk_read_kb,disk_write_kb,backup_status
15222,2026-01-01 02:31:06,developer_065,sess_developer_065_2026-01-01_G5_78800c,21.43,41.06,101,477.90,107.92,N/A
15223,2026-01-01 06:41:48.5,data_analyst_053,sess_data_analyst_053_2026-01-01_G1_d0609a,19.70,28.99,67,754.23,103.66,N/A
15224,2026-01-01 06:51:06,junior_dba_075,sess_junior_dba_075_2026-01-01_G1_31c630,20.82,42.80,58,178.15,33.10,N/A
15225,2026-01-01 07:12:41.5,data_analyst_055,sess_data_analyst_055_2026-01-01_G1_22ed35,24.29,36.01,82,269.17,115.85,N/A
15227,2026-01-01 07:31:35.5,senior_analyst_059,sess_senior_analyst_059_2026-01-01_G1_7b3e19,25.82,35.60,83,117.02,36.81,N/A
15226,2026-01-01 07:34:22,data_analyst_055,sess_data_analyst_055_2026-01-01_G1_a8d3ff,22.93,39.65,66,506.03,128.02,N/A
15228,2026-01-01 07:48:48.5,senior_analyst_058,sess_senior_analyst_058_2026-01-01_G1_81669b,12.13,32.25,89,571.09,58.35,N/A
15230,2026-01-01 07:54:11,junior_dba_076,sess_junior_dba_076_2026-01-01_G1_9d3222,18.72,26.11,63,147.03,35.31,N/A
15231,2026-01-01 08:01:36.5,junior_dba_075,sess_junior_dba_075_2026-01-01_G1_2240ea,16.71,32.76,98,238.87,23.43,N/A
15229,2026-01-01 08:02:13.5,junior_dba_076,sess_junior_dba_076_2026-01-01_G1_9d3222,23.36,33.29,96,211.33,53.49,N/A
15232,2026-01-01 08:58:38.5,data_analyst_055,sess_data_analyst_055_2026-01-01_G1_b991f5,28.03,34.49,56,672.03,142.54,N/A
15233,2026-01-01 09:19:30.5,sales_staff_010,sess_sales_staff_010_2026-01-01_G2_7e07b4,10.87,30.11,73,544.08,60.75,N/A
15234,2026-01-01 09:21:15.5,sales_staff_001,sess_sales_staff_001_2026-01-01_G2_964bd7,10.84,31.08,95,339.89,103.47,N/A
15235,2026-01-01 09:21:36,security_analyst_071,sess_security_analyst_071_2026-01-01_G2_e64115,21.02,28.77,100,477.96,100.27,N/A
15238,2026-01-01 09:26:20,accountant_033,sess_accountant_033_2026-01-01_G2_8840c4,11.58,30.90,56,336.92,34.13,N/A
15237,2026-01-01 09:35:07.5,developer_067,sess_developer_067_2026-01-01_G2_edf3f0,23.58,38.50,75,402.79,51.93,N/A
15243,2026-01-01 09:38:31,sales_staff_019,sess_sales_staff_019_2026-01-01_G2_ce8128,24.12,27.08,98,144.33,59.29,N/A
15244,2026-01-01 09:39:15,procurement_staff_040,sess_procurement_staff_040_2026-01-01_G2_2119bc,23.78,35.96,89,426.43,99.10,N/A
15236,2026-01-01 09:40:54.5,accountant_030,sess_accountant_030_2026-01-01_G2_15e3ed,30.28,38.09,73,617.70,91.60,N/A
15250,2026-01-01 09:42:17,procurement_staff_040,sess_procurement_staff_040_2026-01-01_G2_2119bc,14.88,36.50,81,330.41,92.32,N/A
15239,2026-01-01 09:43:30,developer_065,sess_developer_065_2026-01-01_G2_f95b2d,17.72,30.82,54,192.26,83.73,N/A
15246,2026-01-01 09:43:35,procurement_staff_043,sess_procurement_staff_043_2026-01-01_G2_a170ce,13.40,36.93,78,402.35,73.12,N/A
15245,2026-01-01 09:44:32,procurement_staff_038,sess_procurement_staff_038_2026-01-01_G2_127f77,23.58,21.85,71,512.35,121.54,N/A
15241,2026-01-01 09:45:27.5,data_analyst_054,sess_data_analyst_054_2026-01-01_G2_865670,16.94,46.97,92,533.91,77.13,N/A
15240,2026-01-01 09:47:33,senior_analyst_059,sess_senior_analyst_059_2026-01-01_G2_1c793e,21.76,25.62,76,567.78,91.27,N/A
15248,2026-01-01 09:49:28.5,developer_066,sess_developer_066_2026-01-01_G2_6f2034,24.78,23.05,59,269.70,64.83,N/A
15242,2026-01-01 09:50:24.5,accountant_028,sess_accountant_028_2026-01-01_G2_0bba6d,18.57,44.41,53,832.36,105.53,N/A
15254,2026-01-01 09:51:37.5,hr_staff_049,sess_hr_staff_049_2026-01-01_G2_9e2932,21.66,33.46,73,313.64,77.36,N/A
15249,2026-01-01 09:53:27,sales_manager_022,sess_sales_manager_022_2026-01-01_G2_32a89d,19.14,27.01,65,297.62,100.94,N/A
15252,2026-01-01 09:55:29.5,procurement_staff_040,sess_procurement_staff_040_2026-01-01_G2_5ab54c,12.95,37.78,97,339.75,54.31,N/A
15247,2026-01-01 09:55:41,data_analyst_053,sess_data_analyst_053_2026-01-01_G2_2372fc,17.65,40.31,77,503.48,104.77,N/A
15251,2026-01-01 10:00:56.5,senior_analyst_058,sess_senior_analyst_058_2026-01-01_G2_5d3c26,11.50,28.10,85,147.88,73.22,N/A
15255,2026-01-01 10:01:38.5,procurement_staff_039,sess_procurement_staff_039_2026-01-01_G2_e05399,21.64,43.20,81,232.30,139.02,N/A
15253,2026-01-01 10:03:08.5,junior_dba_076,sess_junior_dba_076_2026-01-01_G2_c27534,14.53,28.39,69,523.50,103.97,N/A
15256,2026-01-01 10:08:49,sales_staff_006,sess_sales_staff_006_2026-01-01_G2_afee77,12.53,22.81,74,524.34,121.99,N/A
