alert_id,event_time,db_user,event_type,severity_index,source_ip,target_object,related_event_id,description,related_session_id
9766,2026-01-01 06:53:22,junior_dba_075,L5_ACCESS,3,172.20.109.54,sys.db_account,d0449cbc-c9d3-4d73-b001-74726bb032db,[SIM_GENERATED] L5_ACCESS by junior_dba_075 on sys.db_account,sess_junior_dba_075_2026-01-01_G1_31c630
9767,2026-01-01 06:55:34,junior_dba_075,L5_ACCESS,3,172.20.109.54,sys.db_account,4d29469b-d36d-49d4-bf23-6a9e7efecde5,[SIM_GENERATED] L5_ACCESS by junior_dba_075 on sys.db_account,sess_junior_dba_075_2026-01-01_G1_31c630
9750,2026-01-01 07:54:11,junior_dba_076,UNAUTHORIZED_ACCESS,2,192.168.24.31,sys.system_security_log,894fdf84-87bc-48f8-b794-3841557fbdd4,[SIM_GENERATED] UNAUTHORIZED_ACCESS by junior_dba_076 on sys.system_security_log,sess_junior_dba_076_2026-01-01_G1_9d3222
9786,2026-01-01 09:16:16,security_analyst_071,L5_ACCESS,3,192.168.117.55,sys.system_security_log,7a342625-2310-4ef4-b4d2-a5d924235e7c,[SIM_GENERATED] L5_ACCESS by security_analyst_071 on sys.system_security_log,sess_security_analyst_071_2026-01-01_G2_e64115
9787,2026-01-01 09:17:41,security_analyst_071,L5_ACCESS,3,192.168.117.55,sys.db_account,7dec78d3-5895-400d-ace2-5120138e5be5,[SIM_GENERATED] L5_ACCESS by security_analyst_071 on sys.db_account,sess_security_analyst_071_2026-01-01_G2_e64115
9788,2026-01-01 09:19:08,security_analyst_071,L5_ACCESS,3,192.168.117.55,sys.db_account,bf63bd7f-6597-456f-a901-0a7e9b3d9962,[SIM_GENERATED] L5_ACCESS by security_analyst_071 on sys.db_account,sess_security_analyst_071_2026-01-01_G2_e64115
9789,2026-01-01 09:20:45,security_analyst_071,L5_ACCESS,3,192.168.117.55,sys.db_account,b6042296-90c4-405c-9aa9-76362b9e5569,[SIM_GENERATED] L5_ACCESS by security_analyst_071 on sys.db_account,sess_security_analyst_071_2026-01-01_G2_e64115
9790,2026-01-01 09:22:34,security_analyst_071,L5_ACCESS,3,192.168.117.55,sys.system_security_log,da5cc1ae-4bd6-4543-aff4-ab50341035a2,[SIM_GENERATED] L5_ACCESS by security_analyst_071 on sys.system_security_log,sess_security_analyst_071_2026-01-01_G2_e64115
9791,2026-01-01 09:24:16,security_analyst_071,L5_ACCESS,3,192.168.117.55,sys.system_security_log,856258fe-d97b-45eb-8ba2-f1b9c6ed8826,[SIM_GENERATED] L5_ACCESS by security_analyst_071 on sys.system_security_log,sess_security_analyst_071_2026-01-01_G2_e64115
9792,2026-01-01 09:28:58,security_analyst_071,L5_ACCESS,3,192.168.117.55,sys.system_security_log,0b15edac-5a9d-4561-a4fb-f254fc9391d8,[SIM_GENERATED] L5_ACCESS by security_analyst_071 on sys.system_security_log,sess_security_analyst_071_2026-01-01_G2_e64115
9751,2026-01-01 09:42:17,procurement_staff_040,UNAUTHORIZED_ACCESS,2,192.168.136.157,sys.system_security_log,63f53df2-8705-417f-84c9-cd0cf679d0b3,[SIM_GENERATED] UNAUTHORIZED_ACCESS by procurement_staff_040 on sys.system_security_log,sess_procurement_staff_040_2026-01-01_G2_2119bc
9768,2026-01-01 10:07:10,junior_dba_076,L5_ACCESS,3,192.168.24.31,sys.db_account,88b80f0e-3b6b-45db-986f-5b4df0b3d442,[SIM_GENERATED] L5_ACCESS by junior_dba_076 on sys.db_account,sess_junior_dba_076_2026-01-01_G2_c27534
9752,2026-01-01 10:16:33,procurement_staff_042,UNAUTHORIZED_ACCESS,2,172.16.26.149,sys.system_security_log,09f30e80-7372-4a7d-b92e-17250d496ea7,[SIM_GENERATED] UNAUTHORIZED_ACCESS by procurement_staff_042 on sys.system_security_log,sess_procurement_staff_042_2026-01-01_G2_a666fe
9793,2026-01-01 10:17:26,security_analyst_072,L5_ACCESS,3,10.169.45.236,sys.system_security_log,b20c3eec-fbe8-4eb0-916a-d40c83cb0aeb,[SIM_GENERATED] L5_ACCESS by security_analyst_072 on sys.system_security_log,sess_security_analyst_072_2026-01-01_G2_b0d58f
9794,2026-01-01 10:18:55,security_analyst_072,L5_ACCESS,3,10.169.45.236,sys.system_security_log,f19573c1-e11c-4886-a16a-a12b01020b7d,[SIM_GENERATED] L5_ACCESS by security_analyst_072 on sys.system_security_log,sess_security_analyst_072_2026-01-01_G2_b0d58f
9769,2026-01-01 10:19:58,junior_dba_076,L5_ACCESS,3,192.168.24.31,sys.db_account,93629918-47c1-448a-8f0e-05edbac8ea91,[SIM_GENERATED] L5_ACCESS by junior_dba_076 on sys.db_account,sess_junior_dba_076_2026-01-01_G2_c27534
9795,2026-01-01 10:23:50,security_analyst_072,L5_ACCESS,3,10.169.45.236,sys.system_security_log,e8eb9cf8-1358-42f6-bcf0-015a8bcfb39f,[SIM_GENERATED] L5_ACCESS by security_analyst_072 on sys.system_security_log,sess_security_analyst_072_2026-01-01_G2_b0d58f
9796,2026-01-01 10:28:16,security_analyst_072,L5_ACCESS,3,10.169.45.236,sys.system_security_log,bf7f8139-3e4b-40ee-9818-da72b9f92671,[SIM_GENERATED] L5_ACCESS by security_analyst_072 on sys.system_security_log,sess_security_analyst_072_2026-01-01_G2_b0d58f
9744,2026-01-01 10:30:18,data_analyst_057,UNAUTHORIZED_ACCESS,2,10.63.233.54,hr.payroll,0c4c3edc-2716-4de5-95bd-eed655c2d5bd,[SIM_GENERATED] UNAUTHORIZED_ACCESS by data_analyst_057 on hr.payroll,sess_data_analyst_057_2026-01-01_G2_e97832
9804,2026-01-01 10:34:53,security_analyst_072,L5_ACCESS,3,10.169.45.236,sys.db_account,35492b50-ee45-45ea-a2ce-03f18d12b672,[SIM_GENERATED] L5_ACCESS by security_analyst_072 on sys.db_account,sess_security_analyst_072_2026-01-01_G2_ce7b3f
9797,2026-01-01 10:35:40,security_analyst_072,L5_ACCESS,3,10.169.45.236,sys.system_security_log,40e7185c-a1f4-4757-9a3f-beeff46d3690,[SIM_GENERATED] L5_ACCESS by security_analyst_072 on sys.system_security_log,sess_security_analyst_072_2026-01-01_G2_b0d58f
9805,2026-01-01 10:38:33,security_analyst_072,L5_ACCESS,3,10.169.45.236,sys.system_security_log,62cb9090-b987-4c37-813e-cb29dfd5422b,[SIM_GENERATED] L5_ACCESS by security_analyst_072 on sys.system_security_log,sess_security_analyst_072_2026-01-01_G2_ce7b3f
9798,2026-01-01 10:39:26,security_analyst_072,L5_ACCESS,3,10.169.45.236,sys.db_account,73271b65-f30b-4e5b-af7a-dabf44a1dae8,[SIM_GENERATED] L5_ACCESS by security_analyst_072 on sys.db_account,sess_security_analyst_072_2026-01-01_G2_b0d58f
9806,2026-01-01 10:41:26,security_analyst_072,L5_ACCESS,3,10.169.45.236,sys.system_security_log,a71d844b-02c7-49ba-b458-59271edd8dc4,[SIM_GENERATED] L5_ACCESS by security_analyst_072 on sys.system_security_log,sess_security_analyst_072_2026-01-01_G2_ce7b3f
9807,2026-01-01 10:46:18,security_analyst_072,L5_ACCESS,3,10.169.45.236,sys.db_account,d7764247-b786-42ca-b78c-11bfa528368b,[SIM_GENERATED] L5_ACCESS by security_analyst_072 on sys.db_account,sess_security_analyst_072_2026-01-01_G2_ce7b3f
