db_user,job_role,clearance_level,db_role,is_privileged,perm_L1,perm_L2,perm_L3,perm_L4,perm_L5
sales_staff_001,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_002,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_003,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_004,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_005,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_006,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_007,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_008,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_009,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_010,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_011,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_012,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_013,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_014,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_015,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_016,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_017,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_018,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_019,sales_staff,1,readonly,False,R,R,X,X,X
sales_staff_020,sales_staff,1,readonly,False,R,R,X,X,X
sales_manager_021,sales_manager,3,readonly,False,R,R,R,R,X
sales_manager_022,sales_manager,3,readonly,False,R,R,R,R,X
sales_manager_023,sales_manager,3,readonly,False,R,R,R,R,X
accountant_024,accountant,2,readonly,False,R,R,R,R*,X
accountant_025,accountant,2,readonly,False,R,R,R,R*,X
accountant_026,accountant,2,readonly,False,R,R,R,R*,X
accountant_027,accountant,2,readonly,False,R,R,R,R*,X
accountant_028,accountant,2,readonly,False,R,R,R,R*,X
accountant_029,accountant,2,readonly,False,R,R,R,R*,X
accountant_030,accountant,2,readonly,False,R,R,R,R*,X
accountant_031,accountant,2,readonly,False,R,R,R,R*,X
accountant_032,accountant,2,readonly,False,R,R,R,R*,X
accountant_033,accountant,2,readonly,False,R,R,R,R*,X
finance_manager_034,finance_manager,3,readonly,False,R,R,R,R,X
finance_manager_035,finance_manager,3,readonly,False,R,R,R,R,X
procurement_staff_036,procurement_staff,1,readonly,False,R,R,X,X,X
procurement_staff_037,procurement_staff,1,readonly,False,R,R,X,X,X
procurement_staff_038,procurement_staff,1,readonly,False,R,R,X,X,X
procurement_staff_039,procurement_staff,1,readonly,False,R,R,X,X,X
procurement_staff_040,procurement_staff,1,readonly,False,R,R,X,X,X
procurement_staff_041,procurement_staff,1,readonly,False,R,R,X,X,X
procurement_staff_042,procurement_staff,1,readonly,False,R,R,X,X,X
procurement_staff_043,procurement_staff,1,readonly,False,R,R,X,X,X
procurement_manager_044,procurement_manager,3,readonly,False,R,R,R,R,X
procurement_manager_045,procurement_manager,3,readonly,False,R,R,R,R,X
hr_staff_046,hr_staff,2,readwrite,False,R,R,RW,R,X
hr_staff_047,hr_staff,2,readwrite,False,R,R,RW,R,X
hr_staff_048,hr_staff,2,readwrite,False,R,R,RW,R,X
hr_staff_049,hr_staff,2,readwrite,False,R,R,RW,R,X
hr_staff_050,hr_staff,2,readwrite,False,R,R,RW,R,X
hr_staff_051,hr_staff,2,readwrite,False,R,R,RW,R,X
hr_manager_052,hr_manager,3,readwrite,False,R,R,RW,R,X
data_analyst_053,data_analyst,2,readonly,False,R,R,R,X,X
data_analyst_054,data_analyst,2,readonly,False,R,R,R,X,X
data_analyst_055,data_analyst,2,readonly,False,R,R,R,X,X
data_analyst_056,data_analyst,2,readonly,False,R,R,R,X,X
data_analyst_057,data_analyst,2,readonly,False,R,R,R,X,X
senior_analyst_058,senior_analyst,3,readonly,False,R,R,R,R,X
senior_analyst_059,senior_analyst,3,readonly,False,R,R,R,R,X
developer_060,developer,2,readwrite,False,R,RW,X,X,X
developer_061,developer,2,readwrite,False,R,RW,X,X,X
developer_062,developer,2,readwrite,False,R,RW,X,X,X
developer_063,developer,2,readwrite,False,R,RW,X,X,X
developer_064,developer,2,readwrite,False,R,RW,X,X,X
developer_065,developer,2,readwrite,False,R,RW,X,X,X
developer_066,developer,2,readwrite,False,R,RW,X,X,X
developer_067,developer,2,readwrite,False,R,RW,X,X,X
data_engineer_068,data_engineer,2,readwrite,False,R,RW,X,X,X
data_engineer_069,data_engineer,2,readwrite,False,R,RW,X,X,X
data_engineer_070,data_engineer,2,readwrite,False,R,RW,X,X,X
security_analyst_071,security_analyst,2,readonly,False,R,R,R,R,R
security_analyst_072,security_analyst,2,readonly,False,R,R,R,R,R
security_manager_073,security_manager,3,readonly,False,R,R,R,R,R
junior_dba_074,junior_dba,4,readwrite,True,RW,RW,RW,R,R
junior_dba_075,junior_dba,4,readwrite,True,RW,RW,RW,R,R
junior_dba_076,junior_dba,4,readwrite,True,RW,RW,RW,R,R
senior_dba_077,senior_dba,4,readwrite,True,RW,RW,RW,RW,RW
senior_dba_078,senior_dba,4,readwrite,True,RW,RW,RW,RW,RW
admin_079,admin,4,admin,True,A,A,A,A,A
