event_id,timestamp,db_user,sql_statement,tables_involved,status,rows_affected,graph_frame,is_after_hours,scenario_type,attack_phase
EVT_0000001,2025-05-01 08:47:17,normal_user_1,"SELECT c.c_name, o.o_totalprice FROM public.customer c JOIN public.orders o ON c.c_custkey = o.o_custkey LIMIT 12;",orders,SUCCESS,8,G1,0,Normal_Admin,normal
EVT_0000002,2025-05-01 10:41:44,normal_user_1,SELECT * FROM public.orders WHERE 1=1 LIMIT 20;,orders,SUCCESS,48,G1,0,Daily-Report,normal
EVT_0000003,2025-05-01 08:24:06,normal_user_1,"SELECT c.c_name, o.o_totalprice FROM public.customer c JOIN public.orders o ON c.c_custkey = o.o_custkey LIMIT 33;",supplier,SUCCESS,51,G1,0,Normal_Admin_Maintenance,normal
EVT_0000004,2025-05-01 10:04:02,normal_user_1,SELECT * FROM public.supplier WHERE su_key IN (SELECT su_key FROM public.supplier ORDER BY 1 LIMIT 50);,supplier,SUCCESS,31,G1,0,Normal_Admin,normal
EVT_0000005,2025-05-01 10:59:43,normal_user_1,SELECT COUNT(*) FROM public.nation;,nation,SUCCESS,46,G1,0,Normal,normal
EVT_0000006,2025-05-01 08:52:02,normal_user_1,SELECT * FROM public.region WHERE re_key IN (SELECT re_key FROM public.region ORDER BY 1 LIMIT 50);,region,SUCCESS,23,G1,0,Normal_Admin_Maintenance,normal
EVT_0000007,2025-05-01 08:15:47,normal_user_1,"SELECT COUNT(*), MAX(pa_key) FROM public.part WHERE pa_key > 0;",part,SUCCESS,24,G1,0,Normal_Admin_Maintenance,normal
EVT_0000008,2025-05-01 10:27:38,normal_user_1,SELECT * FROM public.region WHERE re_key % 2 = 0 LIMIT 10;,region,SUCCESS,39,G1,0,Normal,normal
EVT_0000009,2025-05-01 08:18:27,normal_user_1,"SELECT re_key, re_comment FROM public.region WHERE re_key BETWEEN 65 AND 291;",region,SUCCESS,30,G1,0,Normal_Admin,normal
EVT_0000010,2025-05-01 09:48:10,normal_user_1,SELECT * FROM public.nation ORDER BY 1 LIMIT 41;,nation,SUCCESS,67,G1,0,Normal,normal
EVT_0000011,2025-05-01 10:49:08,normal_user_1,"SELECT p.p_name, ps.ps_supplycost FROM public.part p JOIN public.partsupp ps ON p.p_partkey = ps.ps_partkey LIMIT 37;",part,SUCCESS,30,G1,0,Normal_Admin,normal
EVT_0000012,2025-05-01 09:42:41,normal_user_1,SELECT * FROM public.region ORDER BY 1 LIMIT 38;,region,SUCCESS,5,G1,0,Normal_Admin_Maintenance,normal
EVT_0000013,2025-05-01 10:40:03,normal_user_1,"SELECT n.n_name, COUNT(c.c_custkey) FROM public.nation n JOIN public.customer c ON n.n_nationkey = c.c_nationkey GROUP BY n.n_name LIMIT 20;",customer,SUCCESS,65,G1,0,Normal_Admin,normal
EVT_0000014,2025-05-01 09:51:26,normal_user_2,SELECT * FROM public.customer WHERE 1=1 LIMIT 20;,customer,SUCCESS,48,G1,0,Normal_Admin,normal
